user_id,date,expense_type,amount,,,user ids
91235,2024-01-21,coffee,8,,,91235
91235,2024-01-21,food,29,,,93430
91235,2024-01-21,alcohol,20,,,5963
93430,2024-01-21,coffee,8,,,29926
93430,2024-01-21,food,25,,,67471
93430,2024-01-21,alcohol,22,,,36235
5963,2024-01-21,coffee,8,,,8122
5963,2024-01-21,food,23,,,85641
5963,2024-01-21,alcohol,18,,,88791
29926,2024-01-21,coffee,6,,,39853
29926,2024-01-21,food,15,,,
29926,2024-01-21,alcohol,15,,,
67471,2024-01-21,coffee,12,,,
67471,2024-01-21,food,22,,,
67471,2024-01-21,alcohol,15,,,
36235,2024-01-21,coffee,10,,,
36235,2024-01-21,food,40,,,
36235,2024-01-21,alcohol,5,,,
8122,2024-01-21,coffee,5,,,
8122,2024-01-21,food,30,,,
8122,2024-01-21,alcohol,24,,,
85641,2024-01-21,coffee,7,,,
85641,2024-01-21,food,22,,,
85641,2024-01-21,alcohol,5,,,
88791,2024-01-21,coffee,10,,,
88791,2024-01-21,food,36,,,
88791,2024-01-21,alcohol,22,,,
39853,2024-01-21,coffee,10,,,
39853,2024-01-21,food,25,,,
39853,2024-01-21,alcohol,17,,,
91235,2024-01-22,coffee,8,,,
91235,2024-01-22,food,16,,,
91235,2024-01-22,alcohol,12,,,
93430,2024-01-22,coffee,6,,,
93430,2024-01-22,food,17,,,
93430,2024-01-22,alcohol,9,,,
5963,2024-01-22,coffee,5,,,
5963,2024-01-22,food,28,,,
5963,2024-01-22,alcohol,2,,,
29926,2024-01-22,coffee,11,,,
29926,2024-01-22,food,20,,,
29926,2024-01-22,alcohol,16,,,
67471,2024-01-22,coffee,7,,,
67471,2024-01-22,food,38,,,
67471,2024-01-22,alcohol,12,,,
36235,2024-01-22,coffee,5,,,
36235,2024-01-22,food,15,,,
36235,2024-01-22,alcohol,4,,,
8122,2024-01-22,coffee,7,,,
8122,2024-01-22,food,36,,,
8122,2024-01-22,alcohol,16,,,
85641,2024-01-22,coffee,6,,,
85641,2024-01-22,food,18,,,
85641,2024-01-22,alcohol,11,,,
88791,2024-01-22,coffee,5,,,
88791,2024-01-22,food,34,,,
88791,2024-01-22,alcohol,1,,,
39853,2024-01-22,coffee,8,,,
39853,2024-01-22,food,21,,,
39853,2024-01-22,alcohol,21,,,
91235,2024-01-23,coffee,5,,,
91235,2024-01-23,food,22,,,
91235,2024-01-23,alcohol,20,,,
93430,2024-01-23,coffee,5,,,
93430,2024-01-23,food,23,,,
93430,2024-01-23,alcohol,2,,,
5963,2024-01-23,coffee,9,,,
5963,2024-01-23,food,11,,,
5963,2024-01-23,alcohol,21,,,
29926,2024-01-23,coffee,7,,,
29926,2024-01-23,food,14,,,
29926,2024-01-23,alcohol,18,,,
67471,2024-01-23,coffee,9,,,
67471,2024-01-23,food,22,,,
67471,2024-01-23,alcohol,5,,,
36235,2024-01-23,coffee,12,,,
36235,2024-01-23,food,29,,,
36235,2024-01-23,alcohol,21,,,
8122,2024-01-23,coffee,10,,,
8122,2024-01-23,food,39,,,
8122,2024-01-23,alcohol,13,,,
85641,2024-01-23,coffee,7,,,
85641,2024-01-23,food,25,,,
85641,2024-01-23,alcohol,1,,,
88791,2024-01-23,coffee,7,,,
88791,2024-01-23,food,10,,,
88791,2024-01-23,alcohol,15,,,
39853,2024-01-23,coffee,12,,,
